2026-01-20 18:45:28,613 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 18:45:46,453 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 18:46:12,993 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 18:47:42,691 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 18:49:43,327 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 19:01:31,561 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 19:04:42,008 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 19:05:09,983 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 19:08:18,657 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 19:08:44,370 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-22 09:24:02,531 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-22 09:26:35,455 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-22 09:27:03,294 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-22 09:27:17,568 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-22 11:32:03,528 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-22 11:39:13,671 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 11:41:58,614 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 11:43:55,393 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 11:46:14,396 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 11:46:40,801 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 11:54:20,630 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 11:56:45,037 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 12:03:57,943 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 12:06:00,740 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 12:07:00,940 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 12:15:12,061 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 12:20:20,886 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 12:58:50,126 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['btc', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 13:49:48,805 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 13:50:24,769 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 14:16:31,796 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 14:19:08,865 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 14:22:41,553 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 14:24:52,355 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 14:26:32,103 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 14:31:22,599 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 14:33:28,541 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 14:49:29,221 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 15:15:58,065 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 15:16:48,260 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 15:20:20,472 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 15:21:00,117 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 15:33:08,797 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-22 15:58:52,685 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'link', 'ltc'] | start_date=2026-01-16 | end_date=now
2026-01-23 09:52:54,721 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-16 | end_date=now
2026-01-23 09:54:02,382 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-16 | end_date=now
2026-01-23 09:56:02,468 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-10 | end_date=now
2026-01-23 09:59:33,235 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-10 | end_date=now
2026-01-23 10:03:22,293 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-10 | end_date=now
2026-01-23 10:06:56,275 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-10 | end_date=now
2026-01-23 10:08:17,099 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-10 | end_date=now
2026-01-23 10:13:24,098 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-10 | end_date=now
2026-01-23 10:29:10,411 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-10 | end_date=now
2026-01-23 10:35:13,560 | INFO | config_loader | Configuration loaded | exchange=fusionmarkets_mt5 | symbols=['ada', 'ava', 'bch', 'bnb', 'btc', 'doge', 'dot', 'eos', 'eth', 'lnk', 'ltc', 'matic', 'neth', 'sol', 'xlm'] | start_date=2026-01-10 | end_date=now
