2026-02-04 17:59:06,443 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:59:06,450 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:59:06,450 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:59:06,450 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:59:21,908 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:59:21,913 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:59:21,920 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 17:59:21,945 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:59:21,945 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:59:21,952 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:59:21,953 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:59:21,953 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:59:21,953 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:59:21,953 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:59:38,196 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:59:38,199 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 17:59:38,218 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:59:38,224 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:59:38,219 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:59:38,224 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:59:38,225 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:59:38,224 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:59:38,225 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:59:53,683 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:59:53,693 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 17:59:53,695 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:59:53,710 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:59:53,711 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:59:53,714 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:59:53,714 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:59:53,714 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:59:53,715 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 18:00:09,070 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 18:00:09,072 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 18:00:09,074 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 18:00:09,079 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 18:00:09,085 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 18:00:09,085 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 18:00:09,085 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 18:00:09,085 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 18:00:09,086 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 18:00:09,086 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 18:00:24,460 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 18:00:24,466 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 18:00:24,468 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 18:00:24,499 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 18:00:24,500 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 18:00:24,500 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 18:00:24,501 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 18:00:40,337 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 18:00:40,338 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 18:00:40,343 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 18:00:40,343 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 18:00:40,356 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 18:00:40,363 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 18:00:40,363 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 18:00:40,364 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 18:00:40,364 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 18:00:56,663 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 18:00:56,667 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 18:00:56,696 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 18:00:56,701 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 18:00:56,702 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 18:00:56,702 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 18:00:56,702 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 18:00:56,702 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 18:00:56,703 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 18:01:11,667 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 18:01:11,670 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 18:01:11,673 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 18:01:11,677 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 18:01:11,718 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 18:01:11,718 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 18:01:11,718 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 18:01:11,718 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 18:01:28,275 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 18:01:28,276 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 18:01:28,279 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 18:01:28,285 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 18:01:28,310 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 18:01:28,316 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 18:01:28,316 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 18:01:28,317 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 18:01:43,951 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 18:01:43,952 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 18:01:43,956 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 18:01:43,960 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 18:01:43,965 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 18:01:43,965 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 18:01:43,965 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 18:01:43,965 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 18:01:43,966 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 18:02:00,149 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 18:02:00,153 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 18:02:00,158 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 18:02:00,161 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 18:02:00,203 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 18:02:00,203 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 18:02:16,694 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 18:02:16,696 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 18:02:16,702 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 18:02:16,704 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 18:02:16,711 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 18:02:16,711 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 18:02:16,711 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 18:02:16,711 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 18:02:16,712 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 18:02:16,712 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 18:02:31,163 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 18:02:31,178 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 18:02:31,184 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 18:02:31,186 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 18:02:31,200 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 18:02:31,200 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 18:02:31,206 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 18:02:31,206 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 18:02:31,206 | WARNING | signals_combiner | No signal function found for MAXINDEX
