2026-02-05 15:29:30,370 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 15:32:53,074 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 15:35:31,286 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 15:36:27,415 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-05 15:39:32,120 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-05 15:40:26,104 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-05 15:43:04,913 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-06 12:40:47,535 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 12:43:14,833 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 12:43:53,952 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-06 12:56:25,925 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 13:36:35,868 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 13:39:28,381 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 13:39:33,757 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-06 13:48:46,481 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 13:49:47,170 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-06 13:52:39,709 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-06 14:15:25,217 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 14:16:02,607 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-06 14:17:43,441 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-06 15:01:32,828 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 15:02:06,890 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-06 15:03:58,980 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-06 15:32:11,433 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 15:32:46,546 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-06 15:34:23,658 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-06 15:38:11,010 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 15:42:22,137 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 15:42:57,830 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 15:43:41,153 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
