2026-02-11 09:59:49,573 | INFO | execution_binance_main |     wma_period: 30
2026-02-11 09:59:49,574 | INFO | execution_binance_main |     minus_dm_period: 14
2026-02-11 09:59:49,575 | INFO | execution_binance_main |     plus_di_period: 14
2026-02-11 09:59:49,575 | INFO | execution_binance_main |     roc_period: 10
2026-02-11 09:59:49,576 | INFO | execution_binance_main |     stochf_fastperiod: 14
2026-02-11 09:59:49,576 | INFO | execution_binance_main |     stochf_slowperiod: 3
2026-02-11 09:59:49,576 | INFO | execution_binance_main |     trix_period: 14
2026-02-11 09:59:49,577 | INFO | execution_binance_main |     willr_period: 14
2026-02-11 09:59:49,577 | INFO | execution_binance_main |     var_period: 5
2026-02-11 09:59:49,578 | INFO | execution_binance_main |     bbands_period: 5
2026-02-11 09:59:49,579 | INFO | execution_binance_main |     kama_period: 10
2026-02-11 09:59:49,580 | INFO | execution_binance_main |     adxr_period: 14
2026-02-11 09:59:49,581 | INFO | execution_binance_main |     mom_period: 10
2026-02-11 09:59:49,582 | INFO | execution_binance_main |     atr_period: 14
2026-02-11 09:59:49,583 | INFO | execution_binance_main |     natr_period: 14
2026-02-11 09:59:49,583 | INFO | execution_binance_main |     linearreg_angle_period: 14
2026-02-11 09:59:49,584 | INFO | execution_binance_main |     ma_period: 30
2026-02-11 09:59:49,585 | INFO | execution_binance_main |     t3_period: 14
2026-02-11 09:59:49,586 | INFO | execution_binance_main |     cmo_period: 14
2026-02-11 09:59:49,586 | INFO | execution_binance_main |     macd_fastperiod: 12
2026-02-11 09:59:49,588 | INFO | execution_binance_main |     macd_slowperiod: 26
2026-02-11 09:59:49,589 | INFO | execution_binance_main |     macd_signalperiod: 9
2026-02-11 09:59:49,590 | INFO | execution_binance_main |     minus_di_period: 14
2026-02-11 09:59:49,590 | INFO | execution_binance_main |     rocp_period: 10
2026-02-11 09:59:49,591 | INFO | execution_binance_main |     stoch_fastk_period: 14
2026-02-11 09:59:49,591 | INFO | execution_binance_main |     stoch_slowk_period: 3
2026-02-11 09:59:49,592 | INFO | execution_binance_main |     stoch_slowd_period: 3
2026-02-11 09:59:49,593 | INFO | execution_binance_main |     stochrsi_period: 14
2026-02-11 09:59:49,593 | INFO | execution_binance_main | Strategy sig_1h_btc_3 → Highest window value among specified patterns: 30
2026-02-11 09:59:49,595 | INFO | execution_binance_main | Strategy sig_1h_btc_4 → ALL columns:
2026-02-11 09:59:49,595 | INFO | execution_binance_main |     strategy: sig_1h_btc_4
2026-02-11 09:59:49,595 | INFO | execution_binance_main |     tp: 3
2026-02-11 09:59:49,599 | INFO | execution_binance_main |     sl: 1
2026-02-11 09:59:49,599 | INFO | execution_binance_main |     symbol: btc
2026-02-11 09:59:49,601 | INFO | execution_binance_main |     timehorizon: 1h
2026-02-11 09:59:49,601 | INFO | execution_binance_main |     pnl_sum: 2693.99
2026-02-11 09:59:49,602 | INFO | execution_binance_main |     bbands: True
2026-02-11 09:59:49,603 | INFO | execution_binance_main |     dema: True
2026-02-11 09:59:49,604 | INFO | execution_binance_main |     ema: True
2026-02-11 09:59:49,606 | INFO | execution_binance_main |     kama: True
2026-02-11 09:59:49,607 | INFO | execution_binance_main |     ma: True
2026-02-11 09:59:49,608 | INFO | execution_binance_main |     sarext: True
2026-02-11 09:59:49,608 | INFO | execution_binance_main |     trima: True
2026-02-11 09:59:49,609 | INFO | execution_binance_main |     wma: True
2026-02-11 09:59:49,609 | INFO | execution_binance_main |     adx: True
2026-02-11 09:59:49,609 | INFO | execution_binance_main |     apo: True
2026-02-11 09:59:49,610 | INFO | execution_binance_main |     cci: True
2026-02-11 09:59:49,611 | INFO | execution_binance_main |     cmo: True
2026-02-11 09:59:49,611 | INFO | execution_binance_main |     macd: True
2026-02-11 09:59:49,612 | INFO | execution_binance_main |     mfi: True
2026-02-11 09:59:49,612 | INFO | execution_binance_main |     minus_dm: True
2026-02-11 09:59:49,613 | INFO | execution_binance_main |     mom: True
2026-02-11 09:59:49,613 | INFO | execution_binance_main |     ppo: True
2026-02-11 09:59:49,613 | INFO | execution_binance_main |     roc: True
2026-02-11 09:59:49,614 | INFO | execution_binance_main |     stoch: True
2026-02-11 09:59:49,614 | INFO | execution_binance_main |     stochrsi: True
2026-02-11 09:59:49,615 | INFO | execution_binance_main |     willr: True
2026-02-11 09:59:49,615 | INFO | execution_binance_main |     ad: True
2026-02-11 09:59:49,617 | INFO | execution_binance_main |     natr: True
2026-02-11 09:59:49,617 | INFO | execution_binance_main |     avgprice: True
