2026-03-16 15:20:59,371 | INFO | randomforest_regressor | [train] DataFrame shape after log-diff transform & dropna: (27330, 145)
2026-03-16 15:20:59,527 | INFO | randomforest_regressor | [train] Train rows: 21799 | Test rows: 5531 | Features: 143
2026-03-16 15:20:59,539 | INFO | randomforest_regressor | [train] NaNs in X_train: 0 | X_test: 0
2026-03-16 15:20:59,539 | INFO | randomforest_regressor | [train] NaNs in y_train: 0 | y_test: 0
2026-03-16 15:20:59,540 | INFO | randomforest_regressor | [train] Starting Optuna study (10 trials)...
2026-03-16 15:20:59,543 | INFO | randomforest_regressor | [trial 0] Params: {'n_estimators': 406, 'max_depth': 4, 'min_samples_split': 11, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False, 'criterion': 'friedman_mse'}
2026-03-16 15:20:59,545 | INFO | randomforest_regressor | [trial 0] Fitting model on 21799 rows...
2026-03-16 15:20:59,558 | INFO | randomforest_regressor | [trial 1] Params: {'n_estimators': 162, 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'squared_error'}
2026-03-16 15:20:59,560 | INFO | randomforest_regressor | [trial 1] Fitting model on 21799 rows...
2026-03-16 15:20:59,560 | INFO | randomforest_regressor | [trial 2] Params: {'n_estimators': 562, 'max_depth': 7, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'friedman_mse'}
2026-03-16 15:20:59,567 | INFO | randomforest_regressor | [trial 3] Params: {'n_estimators': 773, 'max_depth': 8, 'min_samples_split': 16, 'min_samples_leaf': 18, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'friedman_mse'}
2026-03-16 15:20:59,567 | INFO | randomforest_regressor | [trial 2] Fitting model on 21799 rows...
2026-03-16 15:20:59,570 | INFO | randomforest_regressor | [trial 3] Fitting model on 21799 rows...
2026-03-16 15:21:21,481 | INFO | randomforest_regressor | [trial 1] Fit done. Running backtest chunks...
2026-03-16 15:21:23,664 | INFO | randomforest_regressor | [trial 1] Chunk 1/5 PnL: 77.3900
2026-03-16 15:21:28,437 | INFO | randomforest_regressor | [trial 1] Chunk 2/5 PnL: 21.7800
2026-03-16 15:21:30,914 | INFO | randomforest_regressor | [trial 1] Chunk 3/5 PnL: 156.1200
