2026-01-23 12:17:13,702 | INFO | metatrader5_fetcher | ✔ Enabled symbol: SOLUSD
2026-01-23 12:17:13,702 | INFO | metatrader5_fetcher | ✔ Enabled symbol: XLMUSD
2026-01-23 12:17:21,531 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-23 12:15:00 to 2026-01-23 12:17:13.693944
2026-01-23 12:17:26,875 | WARNING | metatrader5_fetcher | ⚠ No data for NETH25 from 2026-01-23 04:00:00 to 2026-01-23 12:17:13.693944
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ADAUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: AVAXUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BCHUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BNBUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BTCUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOGEUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOTUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: EOSUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ETHUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LNKUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LTCUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: MATICUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: NETH25
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: SOLUSD
2026-01-23 12:35:04,079 | INFO | metatrader5_fetcher | ✔ Enabled symbol: XLMUSD
2026-01-23 12:35:12,790 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-23 12:17:00 to 2026-01-23 12:35:04.079204
2026-01-23 12:35:18,187 | WARNING | metatrader5_fetcher | ⚠ No data for NETH25 from 2026-01-23 04:00:00 to 2026-01-23 12:35:04.079204
2026-01-23 12:40:59,264 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ADAUSD
2026-01-23 12:40:59,264 | INFO | metatrader5_fetcher | ✔ Enabled symbol: AVAXUSD
