timestamp,entryprice,exitprice,tp/sl,direction,pnl
2024-10-13 03:00:00+00:00,62845.3,62216.847,SL,buy,-628.4530000000013
2024-10-14 03:00:00+00:00,62601.5,63227.515,SL,sell,-626.0149999999994
2024-10-17 04:00:00+00:00,67541.0,66865.59,SL,buy,-675.4100000000035
2024-10-18 01:00:00+00:00,67179.1,67850.891,SL,sell,-671.7909999999974
2024-10-19 16:00:00+00:00,68214.3,68198.0,,buy,-16.30000000000291
2024-10-20 06:00:00+00:00,68198.0,68879.98,SL,sell,-681.9799999999959
2024-10-21 13:00:00+00:00,68179.3,67497.507,SL,buy,-681.7930000000051
2024-10-24 00:00:00+00:00,66686.7,67353.567,SL,sell,-666.8669999999984
2024-10-25 17:00:00+00:00,67571.1,66895.38900000001,SL,buy,-675.7109999999957
2024-10-27 12:00:00+00:00,67099.2,67770.192,SL,sell,-670.9919999999984
2024-10-31 13:00:00+00:00,72144.9,71423.45099999999,SL,buy,-721.4490000000078
2024-11-01 13:00:00+00:00,70309.6,71012.69600000001,SL,sell,-703.096000000005
2024-11-03 00:00:00+00:00,69353.1,68659.569,SL,buy,-693.5310000000027
2024-11-03 21:00:00+00:00,68976.5,68547.0,,sell,429.5
2024-11-04 14:00:00+00:00,68547.0,67861.53,SL,buy,-685.4700000000012
2024-11-05 14:00:00+00:00,68803.9,69491.939,SL,sell,-688.0390000000043
2024-11-09 16:00:00+00:00,76321.3,76696.5,,buy,375.1999999999971
2024-11-10 00:00:00+00:00,76696.5,77463.465,SL,sell,-766.9649999999965
2024-11-14 15:00:00+00:00,88469.9,87585.20099999999,SL,buy,-884.6990000000078
2024-11-15 20:00:00+00:00,90496.9,91401.86899999999,SL,sell,-904.9689999999973
2024-11-16 15:00:00+00:00,91029.1,90118.80900000001,SL,buy,-910.2909999999974
2024-11-18 06:00:00+00:00,90761.8,91669.418,SL,sell,-907.6180000000022
2024-11-22 14:00:00+00:00,97750.1,96772.599,SL,buy,-977.5010000000038
2024-11-27 14:00:00+00:00,94274.1,95216.841,SL,sell,-942.7409999999945
2024-12-01 02:00:00+00:00,96151.7,97097.7,,buy,946.0
2024-12-01 21:00:00+00:00,97097.7,98068.677,SL,sell,-970.976999999999
2024-12-02 03:00:00+00:00,97703.4,96726.366,SL,buy,-977.0339999999997
2024-12-04 19:00:00+00:00,96175.0,97136.75,SL,sell,-961.75
2024-12-05 21:00:00+00:00,99098.5,98107.515,SL,buy,-990.9850000000006
2024-12-06 17:00:00+00:00,99165.0,100156.65,SL,sell,-991.6499999999942
2024-12-08 08:00:00+00:00,99771.3,98773.587,SL,buy,-997.7130000000034
2024-12-08 23:00:00+00:00,100280.8,101283.60800000001,SL,sell,-1002.8080000000045
2024-12-09 09:00:00+00:00,99006.5,98016.435,SL,buy,-990.0650000000023
2024-12-11 14:00:00+00:00,98857.7,99846.277,SL,sell,-988.5770000000048
2024-12-12 19:00:00+00:00,100851.6,99843.084,SL,buy,-1008.5160000000033
2024-12-13 14:00:00+00:00,100243.6,101246.03600000001,SL,sell,-1002.4360000000015
2024-12-14 17:00:00+00:00,101655.9,100639.341,SL,buy,-1016.5589999999938
2024-12-15 04:00:00+00:00,101776.0,102793.76,SL,sell,-1017.7599999999948
2024-12-18 01:00:00+00:00,106071.7,105010.983,SL,buy,-1060.7170000000042
2024-12-24 13:00:00+00:00,94274.5,95217.245,SL,sell,-942.7449999999953
2024-12-26 07:00:00+00:00,98081.4,97100.586,SL,buy,-980.8139999999985
2024-12-27 03:00:00+00:00,96012.2,96493.4,,sell,-481.1999999999971
2024-12-27 07:00:00+00:00,96493.4,95528.466,SL,buy,-964.9339999999938
2024-12-27 09:00:00+00:00,95734.5,96691.845,SL,sell,-957.3450000000012
2024-12-27 15:00:00+00:00,95505.5,94550.44499999999,SL,buy,-955.0550000000076
2024-12-28 16:00:00+00:00,94394.0,95337.94,SL,sell,-943.9400000000023
2024-12-29 14:00:00+00:00,94886.8,93937.932,SL,buy,-948.8680000000022
2024-12-31 13:00:00+00:00,94551.3,95496.81300000001,SL,sell,-945.5130000000063
2025-01-03 07:00:00+00:00,96514.9,96988.9,,buy,474.0
2025-01-03 15:00:00+00:00,96988.9,97958.78899999999,SL,sell,-969.8889999999956
2025-01-07 10:00:00+00:00,101628.9,100612.61099999999,SL,buy,-1016.2890000000043
2025-01-10 17:00:00+00:00,93570.4,94506.10399999999,SL,sell,-935.7039999999979
2025-01-12 09:00:00+00:00,94157.1,94767.1,,buy,610.0
2025-01-12 15:00:00+00:00,94767.1,95714.77100000001,SL,sell,-947.6710000000021
2025-01-13 06:00:00+00:00,94124.3,93183.057,SL,buy,-941.2430000000022
2025-01-14 09:00:00+00:00,95512.1,96467.221,SL,sell,-955.1209999999992
2025-01-16 14:00:00+00:00,99053.5,98062.965,SL,buy,-990.5350000000035
2025-01-17 01:00:00+00:00,100168.7,101170.387,SL,sell,-1001.6870000000054
2025-01-19 21:00:00+00:00,106252.7,105190.173,SL,buy,-1062.5270000000019
2025-01-21 16:00:00+00:00,103874.2,104912.942,SL,sell,-1038.7419999999984
2025-01-22 13:00:00+00:00,105279.5,104226.705,SL,buy,-1052.7949999999983
2025-01-23 14:00:00+00:00,102367.8,103391.478,SL,sell,-1023.6779999999999
2025-01-26 21:00:00+00:00,104834.2,103785.858,SL,buy,-1048.3420000000042
2025-01-29 19:00:00+00:00,102536.0,103561.36,SL,sell,-1025.3600000000006
2025-01-31 02:00:00+00:00,104656.3,104499.2,,buy,-157.10000000000582
2025-01-31 15:00:00+00:00,104499.2,105544.192,SL,sell,-1044.9919999999984
2025-01-31 18:00:00+00:00,104512.2,103467.078,SL,buy,-1045.122000000003
2025-02-03 18:00:00+00:00,98996.1,99986.061,SL,sell,-989.9609999999957
2025-02-04 21:00:00+00:00,98353.6,97370.064,SL,buy,-983.5360000000073
2025-02-06 10:00:00+00:00,98595.3,95637.441,TP,sell,2957.8589999999967
2025-02-07 20:00:00+00:00,96783.9,95816.06099999999,SL,buy,-967.8390000000072
2025-02-09 01:00:00+00:00,96493.3,96464.0,,sell,29.30000000000291
2025-02-09 13:00:00+00:00,96464.0,95499.36,SL,buy,-964.6399999999994
2025-02-10 08:00:00+00:00,97438.1,98412.481,SL,sell,-974.380999999994
2025-02-11 13:00:00+00:00,97683.4,96706.56599999999,SL,buy,-976.8340000000026
2025-02-12 16:00:00+00:00,95676.2,96632.962,SL,sell,-956.7620000000024
2025-02-16 07:00:00+00:00,97408.2,96434.118,SL,buy,-974.0819999999949
2025-02-20 02:00:00+00:00,96745.6,97713.05600000001,SL,sell,-967.4560000000056
2025-02-21 17:00:00+00:00,98126.2,97144.938,SL,buy,-981.2620000000024
2025-03-02 15:00:00+00:00,85169.8,86021.498,SL,sell,-851.698000000004
2025-03-03 14:00:00+00:00,93410.0,92475.9,SL,buy,-934.1000000000058
2025-03-04 18:00:00+00:00,85367.9,86221.579,SL,sell,-853.6790000000037
2025-03-06 17:00:00+00:00,89264.8,88372.152,SL,buy,-892.648000000001
2025-03-11 09:00:00+00:00,81100.0,81911.0,SL,sell,-811.0
2025-03-13 13:00:00+00:00,82750.8,81923.292,SL,buy,-827.5080000000016
2025-03-14 15:00:00+00:00,83577.1,84412.87100000001,SL,sell,-835.7710000000079
2025-03-16 09:00:00+00:00,84218.9,83376.711,SL,buy,-842.1889999999985
2025-03-17 17:00:00+00:00,83329.5,84162.795,SL,sell,-833.2949999999983
2025-03-18 13:00:00+00:00,82311.5,81488.385,SL,buy,-823.1150000000052
2025-03-19 15:00:00+00:00,84325.9,85169.159,SL,sell,-843.2590000000055
2025-03-20 15:00:00+00:00,85950.0,85090.5,SL,buy,-859.5
2025-03-23 10:00:00+00:00,84279.3,85122.09300000001,SL,sell,-842.7930000000051
2025-03-25 03:00:00+00:00,86886.9,86018.03099999999,SL,buy,-868.869000000006
2025-03-31 14:00:00+00:00,82564.8,83390.448,SL,sell,-825.648000000001
2025-04-02 22:00:00+00:00,84560.6,83714.994,SL,buy,-845.6059999999998
2025-04-04 07:00:00+00:00,83036.4,83866.764,SL,sell,-830.3640000000014
2025-04-05 13:00:00+00:00,83245.4,82412.946,SL,buy,-832.4539999999979
2025-04-09 16:00:00+00:00,77170.7,77942.40699999999,SL,sell,-771.7069999999949
2025-04-10 13:00:00+00:00,81667.8,80851.122,SL,buy,-816.6779999999999
2025-04-11 09:00:00+00:00,81634.0,82450.34,SL,sell,-816.3399999999965
2025-04-13 13:00:00+00:00,84490.1,83645.19900000001,SL,buy,-844.900999999998
