timestamp,buyprice,tp/sl,direction,pnl
2025-01-09 20:00:00+00:00,91935.7,TP,buy,2758.0709999999963
2025-01-10 12:00:00+00:00,95004.4,SL,buy,-950.0439999999944
2025-01-10 16:00:00+00:00,93603.1,SL,buy,-936.0310000000027
2025-01-13 18:00:00+00:00,92072.9,TP,buy,2762.1870000000054
2025-01-14 00:20:00+00:00,94752.2,TP,buy,2842.566000000006
2025-01-15 16:00:00+00:00,99094.4,SL,buy,-990.9440000000031
2025-01-16 16:00:00+00:00,99194.7,TP,buy,2975.8410000000003
2025-01-17 21:00:00+00:00,104626.4,SL,buy,-1046.2639999999956
2025-01-18 04:00:00+00:00,103478.1,SL,buy,-1034.7810000000027
2025-01-18 10:00:00+00:00,103083.5,TP,buy,3092.5050000000047
2025-01-19 20:00:00+00:00,106136.8,SL,buy,-1061.3680000000022
2025-01-20 03:00:00+00:00,101732.9,TP,buy,3051.9870000000083
2025-01-20 09:00:00+00:00,108291.0,SL,buy,-1082.9100000000035
2025-01-20 14:00:00+00:00,107926.3,SL,buy,-1079.2630000000063
2025-01-20 19:00:00+00:00,103656.3,SL,buy,-1036.5629999999946
2025-01-21 13:00:00+00:00,104522.7,SL,buy,-1045.226999999999
2025-01-22 03:00:00+00:00,105618.8,SL,buy,-1056.1879999999946
2025-01-23 10:00:00+00:00,101691.0,TP,buy,3050.729999999996
2025-01-23 15:00:00+00:00,105056.3,SL,buy,-1050.5629999999946
2025-01-23 15:07:00+00:00,103611.8,TP,buy,3108.3540000000066
2025-01-23 16:15:00+00:00,106713.0,SL,buy,-1067.1300000000047
2025-01-23 16:20:00+00:00,105728.3,SL,buy,-1057.2829999999958
2025-01-23 23:00:00+00:00,103932.0,SL,buy,-1039.320000000007
2025-01-24 07:00:00+00:00,104974.8,SL,buy,-1049.7480000000069
2025-01-27 05:00:00+00:00,100405.0,SL,buy,-1004.0500000000029
2025-01-27 07:00:00+00:00,99107.0,SL,buy,-991.070000000007
2025-01-27 07:20:00+00:00,98132.4,TP,buy,2943.972000000009
2025-01-27 13:09:00+00:00,101276.1,SL,buy,-1012.7609999999986
2025-01-27 13:51:00+00:00,100247.8,SL,buy,-1002.4780000000028
2025-01-27 18:00:00+00:00,99114.0,TP,buy,2973.4199999999983
2025-01-27 21:08:00+00:00,102109.9,SL,buy,-1021.099000000002
2025-01-27 21:41:00+00:00,101076.0,TP,buy,3032.279999999999
2025-01-30 05:00:00+00:00,105431.5,SL,buy,-1054.3150000000023
2025-01-31 03:00:00+00:00,104235.8,SL,buy,-1042.3580000000075
2025-02-01 00:00:00+00:00,102253.5,SL,buy,-1022.5350000000035
2025-02-01 23:00:00+00:00,100451.1,SL,buy,-1004.5109999999986
2025-02-02 06:00:00+00:00,100122.6,SL,buy,-1001.2259999999951
2025-02-03 02:00:00+00:00,93727.0,SL,buy,-937.2700000000041
2025-02-03 02:06:00+00:00,92307.2,SL,buy,-923.0720000000001
2025-02-03 02:07:00+00:00,91221.6,TP,buy,2736.648000000001
2025-02-03 02:12:00+00:00,93588.8,SL,buy,-935.8880000000063
2025-02-03 08:00:00+00:00,95211.9,SL,buy,-952.119000000006
2025-02-03 22:00:00+00:00,101811.9,SL,buy,-1018.119000000006
2025-02-04 09:00:00+00:00,98321.8,SL,buy,-983.218000000008
2025-02-04 23:00:00+00:00,97550.9,SL,buy,-975.5090000000055
2025-02-05 20:00:00+00:00,97369.1,SL,buy,-973.6910000000062
2025-02-06 03:00:00+00:00,97254.7,SL,buy,-972.5470000000059
2025-02-07 00:00:00+00:00,96590.0,TP,buy,2897.699999999997
2025-02-07 22:00:00+00:00,95724.6,SL,buy,-957.2459999999992
2025-02-10 05:00:00+00:00,96863.4,SL,buy,-968.6340000000055
2025-02-12 06:00:00+00:00,95826.8,SL,buy,-958.2679999999964
2025-02-12 23:00:00+00:00,97900.0,SL,buy,-979.0
2025-02-13 07:00:00+00:00,95904.7,TP,buy,2877.1410000000033
2025-02-15 00:00:00+00:00,97421.0,SL,buy,-974.2100000000064
2025-02-17 03:00:00+00:00,96154.2,SL,buy,-961.5420000000013
2025-02-18 10:00:00+00:00,95781.1,SL,buy,-957.8110000000015
2025-02-19 05:00:00+00:00,95188.3,TP,buy,2855.649000000005
2025-02-20 20:00:00+00:00,98350.2,SL,buy,-983.5020000000077
2025-02-22 00:00:00+00:00,96196.3,SL,buy,-961.9630000000034
2025-02-24 07:00:00+00:00,95915.1,SL,buy,-959.150999999998
2025-02-24 20:00:00+00:00,93905.3,SL,buy,-939.0529999999999
2025-02-25 15:00:00+00:00,86515.7,TP,buy,2595.471000000005
2025-02-25 22:04:00+00:00,89220.0,SL,buy,-892.1999999999971
2025-02-26 15:00:00+00:00,87756.8,SL,buy,-877.5679999999993
2025-02-26 23:00:00+00:00,84505.1,TP,buy,2535.1530000000057
2025-02-27 18:00:00+00:00,84712.4,SL,buy,-847.1239999999962
2025-02-27 23:00:00+00:00,84515.6,SL,buy,-845.1560000000027
